instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio
0,3,meta-llama/Llama-3.1-8B,4,12,570950446,707182664,136232218,1506399,12551664,11243686,"[11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243838, 11244030, 11244254]",1,0,275.02931836911927,223.21073814882274,250.0,500.0,277.91862523793236,100.0,516.0,100.0,1390,41280,42670,1390,8000,9390,52060,570907776,570950446,572456845,583502110,583511500,707182664,1506399,11045265,12551664,12603724,0,123680554,123680554,136274888,prefill,decode,0.004130525232066332,0.11952015134574512,0.8763493234221885,0.9075188702250747
0,0,meta-llama/Llama-3.1-8B,10,70,46970478,830529660,783559182,0,11008270,11196390,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11757584, 11203004, 11203196, 11203420, 11203644, 11203836, 11204028, 11204252, 11204444, 11204636, 11204828, 11205020, 11205148, 11205340, 11205500, 11205692, 11205852, 11206012, 11206172, 11045265, 11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243838, 11244030, 11244254, 11208956, 11209276, 11209660, 11210012, 11210396, 11212156, 11213916, 11215644, 11217340, 11219004, 11220636]",8,0,220.4406220406967,589.2656838759087,250.0,500.0,94.0325430006794,100.0,540.0,100.0,470,43200,43670,470,8000,8470,52140,46926808,46970478,46970478,57978748,57987218,830529660,0,11008270,11008270,11060410,0,772550912,772550912,783602852,prefill,decode,0.004714110959720299,0.0,0.9952858890402797,0.9858853366592883
0,9,meta-llama/Llama-3.1-8B,5,26,1027013552,1324495291,297481739,5209399,16269469,11248490,"[11246654, 11246814, 11247006, 11247134, 11247326, 11247454, 11247646, 11247774, 11247934, 11248094, 11248254, 11248382, 11248542, 11248670, 11248830, 11248958, 11249086, 11249246, 11249374, 11249534, 11249662, 11249758, 11249918, 11250046, 11250174]",6,0,26.535969683863627,198.8376506866485,250.0,500.0,375.01324441820486,100.0,520.0,100.0,1875,41600,43475,1875,8000,9875,53350,1026970077,1027013552,1032222951,1043283021,1043292896,1324495291,5209399,11060070,16269469,16322819,0,281212270,281212270,297525214,prefill,decode,0.003268430532740699,0.31914824271469283,0.6775833267525665,0.9451398520596003
0,1,meta-llama/Llama-3.1-8B,22,104,347987867,1527008339,1179020472,11027370,22784954,11225587,"[11203004, 11203196, 11203420, 11203644, 11203836, 11204028, 11204252, 11204444, 11204636, 11204828, 11205020, 11205148, 11205340, 11205500, 11205692, 11205852, 11206012, 11206172, 11045265, 11243486, 11243518, 11243518, 11243550, 11243550, 11243582, 11243614, 11243614, 11243838, 11244030, 11244254, 11208956, 11209276, 11209660, 11210012, 11210396, 11212156, 11213916, 11215644, 11217340, 11219004, 11220636, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11507846, 11207804, 11208188, 11208572, 11208956, 11209340, 11209692, 11210076, 11210396, 11210780, 11211100, 11060070, 11246654, 11246814, 11247006, 11247134, 11247326, 11247454, 11247646, 11247774, 11247934, 11248094, 11248254, 11248382, 11248542, 11248670, 11248830, 11248958, 11249086, 11249246, 11249374, 11249534, 11249662, 11249758, 11249918, 11250046, 11250174, 11239580, 11240956, 11242332, 11243708, 11245052, 11246364, 11247708, 11248988, 11250268, 11251548, 11252796, 11254044, 11255292, 11256508, 11257692, 11258908, 11260060, 11261244]",6,0,26.535969683863627,198.8376506866485,250.0,500.0,375.01324441820486,100.0,588.0,100.0,1875,47040,48915,1875,8000,9875,58790,347938952,347987867,359015237,370772821,370782696,1527008339,11027370,11757584,22784954,22843744,0,1156235518,1156235518,1179069387,prefill,decode,0.0025735711273948787,0.4827304140687271,0.514696014803878,0.9806257774721171
0,8,meta-llama/Llama-3.1-8B,18,58,903891301,1560523636,656632335,4728900,16236746,11235010,"[11207804, 11208188, 11208572, 11208956, 11209340, 11209692, 11210076, 11210396, 11210780, 11211100, 11060070, 11246654, 11246814, 11247006, 11247134, 11247326, 11247454, 11247646, 11247774, 11247934, 11248094, 11248254, 11248382, 11248542, 11248670, 11248830, 11248958, 11249086, 11249246, 11249374, 11249534, 11249662, 11249758, 11249918, 11250046, 11250174, 11239580, 11240956, 11242332, 11243708, 11245052, 11246364, 11247708, 11248988, 11250268, 11251548, 11252796, 11254044, 11255292, 11256508, 11257692, 11258908, 11260060, 11261244, 11169547, 11171787, 11173963]",8,0,220.4406220406967,589.2656838759087,250.0,500.0,94.0325430006794,100.0,572.0,100.0,470,45760,46230,470,8000,8470,54700,903845071,903891301,908620201,920128047,920136517,1560523636,4728900,11507846,16236746,16291446,0,640395589,640395589,656678565,prefill,decode,0.0033575902347771952,0.2902688932584621,0.7063735165067606,0.975191460876032
1,7,meta-llama/Llama-3.1-8B,2,9,811979934,912981932,101001998,1256578,12330110,11083986,"[11083282, 11083538, 11083794, 11084018, 11084146, 11084274, 11084370, 11084466]",0,1,639.4267984578837,25.010755222666937,750.0,500.0,487.6896713622452,100.0,508.0,100.0,2438,40640,43078,2438,8000,10438,53516,811936856,811979934,813236512,824310044,824320482,912981932,1256578,11073532,12330110,12383626,0,88671888,88671888,101045076,prefill,decode,0.0043215129397480186,0.10147092620529723,0.8942075608549548,0.8774571964474892
1,2,meta-llama/Llama-3.1-8B,16,69,479660825,1245245054,765584229,57020,11169543,11094333,"[11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11018773, 11200124, 11629333, 11068903, 11069351, 11069799, 11070215, 11070599, 11070951, 11071239, 11071559, 11071847, 11072135, 11072391, 11072647, 11072967, 11073255, 11073543, 11073415, 11073287, 11073532, 11083282, 11083538, 11083794, 11084018, 11084146, 11084274, 11084370, 11084466, 11072263, 11072167, 11072071, 11072007, 11071911, 11071847, 11071751, 11071687, 11071591, 11071527, 11071463, 11071559, 11071751, 11071975, 11072167, 11072359, 11072551, 11072711, 11072903, 11073095, 11073287, 11075335, 11077351, 11079367, 11081319, 11083271, 11085159, 11087047, 11088903, 11090727]",3,1,892.1795677048455,86.93883262941615,750.0,500.0,436.8461485034362,100.0,564.0,100.0,2184,45120,47304,2184,8000,10184,57488,479613521,479660825,479717845,490830368,490840552,1245245054,57020,11112523,11169543,11227031,0,754414686,754414686,765631533,prefill,decode,0.005120498910174917,0.0050788138021530356,0.989800687287672,0.9853364429461986
1,5,meta-llama/Llama-3.1-8B,15,63,604876877,1312814066,707937189,8512199,20141532,11093478,"[11068903, 11069351, 11069799, 11070215, 11070599, 11070951, 11071239, 11071559, 11071847, 11072135, 11072391, 11072647, 11072967, 11073255, 11073543, 11073415, 11073287, 11073532, 11083282, 11083538, 11083794, 11084018, 11084146, 11084274, 11084370, 11084466, 11072263, 11072167, 11072071, 11072007, 11071911, 11071847, 11071751, 11071687, 11071591, 11071527, 11071463, 11071559, 11071751, 11071975, 11072167, 11072359, 11072551, 11072711, 11072903, 11073095, 11073287, 11075335, 11077351, 11079367, 11081319, 11083271, 11085159, 11087047, 11088903, 11090727, 11257118, 11258910, 11260670, 11262398, 11264126, 11265790]",3,1,892.1795677048455,86.93883262941615,750.0,500.0,436.8461485034362,100.0,560.0,100.0,2184,44800,46984,2184,8000,10184,57168,604829893,604876877,613389076,625018409,625028593,1312814066,8512199,11629333,20141532,20198700,0,687795657,687795657,707984173,prefill,decode,0.002830281156708105,0.4214231113883567,0.5757466074549352,0.9714705353223599
1,6,meta-llama/Llama-3.1-8B,15,84,610861007,1548933918,938072911,2528069,14157402,11131512,"[11068903, 11069351, 11069799, 11070215, 11070599, 11070951, 11071239, 11071559, 11071847, 11072135, 11072391, 11072647, 11072967, 11073255, 11073543, 11073415, 11073287, 11073532, 11083282, 11083538, 11083794, 11084018, 11084146, 11084274, 11084370, 11084466, 11072263, 11072167, 11072071, 11072007, 11071911, 11071847, 11071751, 11071687, 11071591, 11071527, 11071463, 11071559, 11071751, 11071975, 11072167, 11072359, 11072551, 11072711, 11072903, 11073095, 11073287, 11075335, 11077351, 11079367, 11081319, 11083271, 11085159, 11087047, 11088903, 11090727, 11257118, 11258910, 11260670, 11262398, 11264126, 11265790, 11229820, 11231324, 11232828, 11234300, 11235740, 11237180, 11238588, 11239996, 11241372, 11242748, 11244092, 11245404, 11246748, 11248028, 11249340, 11250620, 11251868, 11253116, 11254364, 11255580, 11256796]",0,1,639.4267984578837,25.010755222666937,750.0,500.0,487.6896713622452,100.0,560.0,100.0,2438,44800,47238,2438,8000,10438,57676,610813769,610861007,613389076,625018409,625028847,1548933918,2528069,11629333,14157402,14215078,0,923915509,923915509,938120149,prefill,decode,0.004057381887035724,0.17784418769984942,0.8180984304131148,0.984847442139737
1,4,meta-llama/Llama-3.1-8B,13,96,587916908,1661199308,1073282400,3253271,14272044,11147477,"[11200124, 11629333, 11068903, 11069351, 11069799, 11070215, 11070599, 11070951, 11071239, 11071559, 11071847, 11072135, 11072391, 11072647, 11072967, 11073255, 11073543, 11073415, 11073287, 11073532, 11083282, 11083538, 11083794, 11084018, 11084146, 11084274, 11084370, 11084466, 11072263, 11072167, 11072071, 11072007, 11071911, 11071847, 11071751, 11071687, 11071591, 11071527, 11071463, 11071559, 11071751, 11071975, 11072167, 11072359, 11072551, 11072711, 11072903, 11073095, 11073287, 11075335, 11077351, 11079367, 11081319, 11083271, 11085159, 11087047, 11088903, 11090727, 11257118, 11258910, 11260670, 11262398, 11264126, 11265790, 11229820, 11231324, 11232828, 11234300, 11235740, 11237180, 11238588, 11239996, 11241372, 11242748, 11244092, 11245404, 11246748, 11248028, 11249340, 11250620, 11251868, 11253116, 11254364, 11255580, 11256796, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547]",9,1,809.4304566778267,6.498759678061017,750.0,500.0,497.06685001137146,100.0,552.0,100.0,2485,44160,46645,2485,8000,10485,57130,587870263,587916908,591170179,602188952,602199437,1661199308,3253271,11018773,14272044,14329174,0,1059010356,1059010356,1073329045,prefill,decode,0.00398697091681628,0.22703827868933688,0.7689747503938469,0.9866499149621369
