layer,tokens,time_us
act_fn,1,3.76533
act_fn,2,3.85067
act_fn,3,3.84
act_fn,4,3.88267
act_fn,5,3.88267
act_fn,6,3.904
act_fn,7,4.05333
act_fn,8,3.89333
act_fn,9,3.95733
act_fn,10,3.95733
act_fn,11,3.968
act_fn,12,4.01067
act_fn,13,4.02133
act_fn,14,3.98933
act_fn,15,4
act_fn,16,3.98933
act_fn,20,3.98933
act_fn,24,4.04267
act_fn,28,4.064
act_fn,32,4.08533
act_fn,36,4.096
act_fn,40,4.128
act_fn,44,4.128
act_fn,48,3.79733
act_fn,52,3.82933
act_fn,56,3.872
act_fn,60,3.872
act_fn,64,3.968
act_fn,80,4.096
act_fn,96,4.07467
act_fn,112,4.256
act_fn,128,5.00267
act_fn,144,6.475
act_fn,160,6.528
act_fn,176,7.328
act_fn,192,7.68
act_fn,208,7.26433
act_fn,224,7.264
act_fn,240,7.2
act_fn,256,7.24267
act_fn,272,8.96
act_fn,288,9.33333
act_fn,304,9.20533
act_fn,320,9.792
act_fn,336,10.016
act_fn,352,10.1013
act_fn,368,10.24
act_fn,384,10.7307
act_fn,400,11.7973
act_fn,416,12.1707
act_fn,432,12.3307
act_fn,448,12.512
act_fn,464,12.6187
act_fn,480,12.8
act_fn,496,13.8773
act_fn,512,14.08
act_fn,528,13.5253
act_fn,544,14.688
act_fn,560,15.2747
act_fn,576,15.2853
act_fn,592,15.7227
act_fn,608,16.1387
act_fn,624,16.1173
act_fn,640,16.544
act_fn,656,17.0347
act_fn,672,18.0373
act_fn,688,17.8347
act_fn,704,18.112
act_fn,720,18.528
act_fn,736,18.5493
act_fn,752,19.0613
act_fn,768,19.392
act_fn,784,20.2247
act_fn,800,20.704
act_fn,816,20.7253
act_fn,832,21.7177
act_fn,848,21.8453
act_fn,864,22.0267
act_fn,880,22.3467
act_fn,896,22.7093
act_fn,912,22.923
act_fn,928,23.2853
act_fn,944,23.6587
act_fn,960,23.8827
act_fn,976,24.8107
act_fn,992,25.0027
act_fn,1008,25.5787
act_fn,1024,25.5573
act_fn,1040,25.6427
act_fn,1056,26.3787
act_fn,1072,26.848
act_fn,1088,27.1573
act_fn,1104,28.256
act_fn,1120,28.48
act_fn,1136,28.2987
act_fn,1152,28.928
act_fn,1168,29.0883
act_fn,1184,29.9947
act_fn,1200,30.048
act_fn,1216,30.0267
act_fn,1232,30.699
act_fn,1248,30.9547
act_fn,1264,31.5947
