layer,sequences,time_us
lm_head,1,287.339
lm_head,2,288.651
lm_head,3,287.873
lm_head,4,288.459
lm_head,5,288.022
lm_head,6,288.63
lm_head,7,289.995
lm_head,8,289.845
lm_head,9,296.576
lm_head,10,294.763
lm_head,11,294.72
lm_head,12,292.459
lm_head,13,296.886
lm_head,14,293.504
lm_head,15,295.808
lm_head,16,297.397
lm_head,20,299.35
lm_head,24,300.15
lm_head,28,299.936
lm_head,32,300.801
lm_head,36,301.877
lm_head,40,303.169
lm_head,44,302.358
lm_head,48,299.936
lm_head,52,314.529
lm_head,56,313.569
lm_head,60,313.024
lm_head,64,315.297
lm_head,80,316.704
lm_head,96,304.139
lm_head,112,306.881
lm_head,128,310.144
