regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,41.28,45.536,46.432,1.2105
pure,2,1,0.5,4.0,0,0,256,1024,640,46.56,50.272,48.736,0.5862
pure,2,1,0.5,4.0,0,0,512,2048,1280,50.688,56.832,52.672,0.3229
pure,2,1,0.5,4.0,0,0,1024,4096,2560,60.384,72.48,60.352,-0.0026
pure,2,1,0.5,4.0,0,0,2048,8192,5120,79.04,99.136,79.552,0.0255
pure,2,1,0.5,4.0,0,0,4096,16384,10240,112.128,152.257,113.952,0.0455
mixed,2,1,0.5,4.0,16,0,128,512,320,42.016,47.104,47.072,0.9937
mixed,2,1,0.5,4.0,16,0,256,1024,640,47.136,51.968,50.752,0.7483
mixed,2,1,0.5,4.0,16,0,512,2048,1280,52.512,58.208,55.008,0.4382
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,61.441,73.376,63.072,0.1367
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,81.984,102.944,82.368,0.0183
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,116.097,156.481,115.04,-0.0262
mixed,2,1,0.5,4.0,16,512,128,512,320,52.384,54.113,52.896,0.2961
mixed,2,1,0.5,4.0,16,512,256,1024,640,54.112,56.128,55.072,0.4762
mixed,2,1,0.5,4.0,16,512,512,2048,1280,57.12,61.6,56.865,-0.0569
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,65.088,75.072,65.024,-0.0064
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,82.88,108.576,84.0,0.0436
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,116.224,156.032,117.504,0.0322
mixed,2,1,0.5,4.0,16,1024,128,512,320,54.496,54.944,55.008,1.1429
mixed,2,1,0.5,4.0,16,1024,256,1024,640,55.552,58.976,55.296,-0.0748
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,58.592,64.704,59.103,0.0836
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,67.168,76.928,66.719,-0.046
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,86.656,104.834,84.896,-0.0968
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,118.849,171.328,118.048,-0.0153
mixed,2,1,0.5,4.0,16,2048,128,512,320,57.664,58.944,58.208,0.425
mixed,2,1,0.5,4.0,16,2048,256,1024,640,61.28,63.168,60.992,-0.1525
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,64.736,70.144,64.192,-0.1006
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,83.232,83.584,79.105,-11.7244
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,90.208,107.008,88.608,-0.0952
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,120.704,163.296,121.728,0.024
mixed,2,1,0.5,4.0,16,4096,128,512,320,67.712,68.544,67.264,-0.5385
mixed,2,1,0.5,4.0,16,4096,256,1024,640,68.384,71.713,72.96,1.3746
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,71.36,76.161,73.248,0.3933
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,87.104,91.328,80.352,-1.5985
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,120.672,115.904,104.863,
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,160.704,167.808,127.904,-4.6171
mixed,2,1,0.5,4.0,16,8192,128,512,320,81.536,83.84,81.152,-0.1667
mixed,2,1,0.5,4.0,16,8192,256,1024,640,84.289,87.072,83.68,-0.2188
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,88.672,92.16,90.656,0.5688
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,96.096,103.521,97.376,0.1724
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,135.81,130.752,110.848,
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,184.48,183.392,174.24,
mixed,2,1,0.5,4.0,32,0,128,512,320,50.56,55.616,54.4,0.7595
mixed,2,1,0.5,4.0,32,0,256,1024,640,55.712,59.04,56.736,0.3077
mixed,2,1,0.5,4.0,32,0,512,2048,1280,59.552,62.944,59.84,0.0849
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,66.752,79.104,68.128,0.1114
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,86.624,107.84,86.752,0.006
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,122.592,163.36,122.144,-0.011
mixed,2,1,0.5,4.0,32,512,128,512,320,65.184,70.88,65.792,0.1067
mixed,2,1,0.5,4.0,32,512,256,1024,640,64.864,65.857,62.881,-1.997
mixed,2,1,0.5,4.0,32,512,512,2048,1280,67.424,70.08,66.24,-0.4458
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,70.24,80.608,70.592,0.034
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,89.152,109.728,88.768,-0.0187
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,123.199,164.896,122.752,-0.0107
mixed,2,1,0.5,4.0,32,1024,128,512,320,64.128,65.184,65.824,1.6061
mixed,2,1,0.5,4.0,32,1024,256,1024,640,68.992,68.384,63.776,
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,68.864,71.936,69.792,0.3021
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,72.576,84.352,71.808,-0.0652
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,91.104,111.808,90.912,-0.0093
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,123.904,181.824,125.408,0.026
mixed,2,1,0.5,4.0,32,2048,128,512,320,69.184,71.456,69.854,0.2949
mixed,2,1,0.5,4.0,32,2048,256,1024,640,73.472,73.696,70.624,-12.7143
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,72.994,77.024,72.128,-0.2149
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,96.129,89.12,96.352,
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,95.552,115.488,95.232,-0.0161
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,128.832,168.288,127.265,-0.0397
mixed,2,1,0.5,4.0,32,4096,128,512,320,81.922,79.553,78.336,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,85.536,78.4,86.592,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,80.352,86.368,80.768,0.0691
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,100.416,98.016,86.048,
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,139.072,124.0,111.712,
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,181.824,173.856,136.704,
mixed,2,1,0.5,4.0,32,8192,128,512,320,96.672,97.952,97.312,0.5
mixed,2,1,0.5,4.0,32,8192,256,1024,640,94.784,95.904,94.336,-0.4
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,99.04,101.824,97.888,-0.4138
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,106.72,113.472,106.784,0.0095
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,151.424,136.096,117.76,
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,206.497,188.128,195.585,
mixed,2,1,0.5,4.0,64,0,128,512,320,51.232,56.576,56.832,1.0479
mixed,2,1,0.5,4.0,64,0,256,1024,640,57.024,58.24,57.12,0.0789
mixed,2,1,0.5,4.0,64,0,512,2048,1280,59.392,64.352,62.144,0.5548
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,65.985,78.465,72.927,0.5562
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,87.84,108.48,94.592,0.3271
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,122.72,164.16,137.504,0.3568
mixed,2,1,0.5,4.0,64,512,128,512,320,66.048,67.52,66.432,0.2609
mixed,2,1,0.5,4.0,64,512,256,1024,640,69.473,69.824,65.984,-9.9402
mixed,2,1,0.5,4.0,64,512,512,2048,1280,69.696,73.632,68.641,-0.268
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,73.247,81.568,76.224,0.3578
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,88.928,109.376,94.784,0.2864
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,123.777,165.664,136.192,0.2964
mixed,2,1,0.5,4.0,64,1024,128,512,320,71.104,71.296,71.68,3.0
mixed,2,1,0.5,4.0,64,1024,256,1024,640,72.481,77.856,82.689,1.8992
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,74.4,75.264,74.592,0.2222
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,90.848,85.088,78.304,
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,95.296,112.672,99.232,0.2265
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,125.632,167.456,139.968,0.3428
mixed,2,1,0.5,4.0,64,2048,128,512,320,77.984,77.536,77.601,
mixed,2,1,0.5,4.0,64,2048,256,1024,640,77.76,78.048,78.112,1.2222
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,80.448,84.608,91.904,2.7538
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,86.175,92.416,87.072,0.1437
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,130.528,118.849,109.632,
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,132.256,170.495,142.816,0.2762
mixed,2,1,0.5,4.0,64,4096,128,512,320,88.736,90.528,88.992,0.1429
mixed,2,1,0.5,4.0,64,4096,256,1024,640,91.584,91.36,91.136,
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,92.16,94.272,91.265,-0.4238
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,95.744,105.792,123.392,2.7516
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,140.704,126.432,138.496,
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,185.312,179.457,176.256,
mixed,2,1,0.5,4.0,64,8192,128,512,320,112.448,112.704,113.504,4.125
mixed,2,1,0.5,4.0,64,8192,256,1024,640,113.473,112.64,112.96,
