pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,-0.0004,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1028,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0006,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0007,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1481,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0116,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0066,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0632,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0156,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0003,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0902,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0129,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0094,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.3378,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0046,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1139,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.6554,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.217,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0593,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.629,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1289,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0398,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.7679,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.1612,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0461,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.7051,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2898,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0414,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9408,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.0641,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.015,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.3107,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0416,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.017,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2557,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0342,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0666,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.182,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0816,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0081,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.1561,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0165,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0464,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.4605,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.1048,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.2092,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.5182,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.2524,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0159,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.4849,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.0778,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.7436,2
0,n<=4,sr>70%,kvB<=1k,kp=0,1.5903,2
0,n<=4,sr>70%,kvB<=4k,kp=0,1.3738,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0038,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.1555,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0022,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0045,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.1517,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,-0.0185,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0237,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.1015,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0257,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.0036,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0913,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0301,2
0,n<=64,sr>70%,kvB<=16k,kp=0,-0.0241,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.3503,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0118,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1123,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.7266,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.2562,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.2384,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.3574,4
