prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.744
0,0,1,32,11.68
0,0,1,64,11.84
0,0,1,128,12.512
0,0,1,256,14.08
0,0,1,512,14.656
0,0,1,1024,16.192
0,0,1,2048,17.248
0,0,1,4096,19.36
0,0,1,8192,24.384
0,0,1,16384,34.4
0,0,2,16,11.904
0,0,2,32,12.032
0,0,2,64,12.384
0,0,2,128,12.896
0,0,2,256,14.72
0,0,2,512,15.712
0,0,2,1024,16.704
0,0,2,2048,19.008
0,0,2,4096,23.712
0,0,2,8192,34.08
0,0,2,16384,51.584
0,0,4,16,12.384
0,0,4,32,12.704
0,0,4,64,13.153
0,0,4,128,13.6
0,0,4,256,14.751
0,0,4,512,17.024
0,0,4,1024,19.328
0,0,4,2048,23.84
0,0,4,4096,34.048
0,0,4,8192,52.384
0,0,4,16384,87.457
0,0,8,16,12.512
0,0,8,32,12.448
0,0,8,64,12.576
0,0,8,128,13.664
0,0,8,256,14.912
0,0,8,512,19.008
0,0,8,1024,24.192
0,0,8,2048,34.08
0,0,8,4096,50.976
0,0,8,8192,87.393
0,0,8,16384,156.257
0,0,16,16,13.12
0,0,16,32,13.183
0,0,16,64,13.472
0,0,16,128,15.104
0,0,16,256,17.472
0,0,16,512,24.512
0,0,16,1024,33.76
0,0,16,2048,52.864
0,0,16,4096,88.672
0,0,16,8192,161.281
0,0,16,16384,301.921
0,0,32,16,17.088
0,0,32,32,17.216
0,0,32,64,18.24
0,0,32,128,21.152
0,0,32,256,26.336
0,0,32,512,37.632
0,0,32,1024,55.904
0,0,32,2048,92.608
0,0,32,4096,163.135
0,0,32,8192,301.825
0,0,32,16384,581.697
0,0,64,16,24.608
0,0,64,32,24.416
0,0,64,64,26.336
0,0,64,128,32.064
0,0,64,256,41.088
0,0,64,512,61.568
0,0,64,1024,96.704
0,0,64,2048,164.864
0,0,64,4096,302.689
0,0,64,8192,578.466
0,0,64,16384,1132.71
0,0,128,16,37.344
0,0,128,32,37.472
0,0,128,64,38.752
0,0,128,128,51.328
0,0,128,256,68.064
0,0,128,512,105.696
0,0,128,1024,175.905
0,0,128,2048,310.048
0,0,128,4096,582.881
0,0,128,8192,1137.66
0,0,128,16384,2254.88
0,0,256,16,63.616
0,0,256,32,64.608
0,0,256,64,67.201
0,0,256,128,87.968
0,0,256,256,119.232
0,0,256,512,194.369
0,0,256,1024,336.928
0,0,256,2048,606.176
0,0,256,4096,1142.27
0,0,256,8192,2244.26
0,0,256,16384,4471.65
16,0,0,0,12
16,0,1,16,12.32
16,0,1,32,12.224
16,0,1,64,12.096
16,0,1,128,12.96
16,0,1,256,14.304
16,0,1,512,15.776
16,0,1,1024,16.704
16,0,1,2048,17.568
16,0,1,4096,20.128
16,0,1,8192,24.704
16,0,1,16384,35.488
16,0,2,16,12.768
16,0,2,32,12.736
16,0,2,64,12.704
16,0,2,128,13.664
16,0,2,256,14.688
16,0,2,512,15.616
16,0,2,1024,16.864
16,0,2,2048,18.784
16,0,2,4096,23.68
16,0,2,8192,36.192
16,0,2,16384,52.032
16,0,4,16,12.896
16,0,4,32,12.736
16,0,4,64,12.512
16,0,4,128,13.824
16,0,4,256,14.624
16,0,4,512,17.856
16,0,4,1024,19.04
16,0,4,2048,26.272
16,0,4,4096,36.832
16,0,4,8192,54.081
16,0,4,16384,89.024
16,0,8,16,12.864
16,0,8,32,12.704
16,0,8,64,12.544
16,0,8,128,13.888
16,0,8,256,14.912
16,0,8,512,23.232
16,0,8,1024,27.808
16,0,8,2048,35.903
16,0,8,4096,53.408
16,0,8,8192,87.616
16,0,8,16384,161.119
16,0,16,16,15.808
16,0,16,32,16.576
16,0,16,64,16.256
16,0,16,128,18.624
16,0,16,256,19.904
16,0,16,512,27.36
16,0,16,1024,37.568
16,0,16,2048,54.656
16,0,16,4096,89.312
16,0,16,8192,159.456
16,0,16,16384,304.352
16,0,32,16,17.408
16,0,32,32,17.344
16,0,32,64,18.016
16,0,32,128,20.864
16,0,32,256,25.408
16,0,32,512,38.592
16,0,32,1024,55.776
16,0,32,2048,91.84
16,0,32,4096,161.024
16,0,32,8192,300.737
16,0,32,16384,579.137
16,0,64,16,23.904
16,0,64,32,24.704
16,0,64,64,26.144
16,0,64,128,30.816
16,0,64,256,38.976
16,0,64,512,61.12
16,0,64,1024,95.648
16,0,64,2048,164.256
16,0,64,4096,302.593
16,0,64,8192,578.272
16,0,64,16384,1144.67
16,0,128,16,37.856
16,0,128,32,38.656
16,0,128,64,38.816
16,0,128,128,50.688
16,0,128,256,64.128
16,0,128,512,102.656
16,0,128,1024,173.057
16,0,128,2048,310.688
16,0,128,4096,581.666
16,0,128,8192,1132.58
16,0,128,16384,2243.91
16,16,0,0,12.352
16,16,1,16,12.288
16,16,1,32,12.448
16,16,1,64,12.192
16,16,1,128,13.312
16,16,1,256,14.048
16,16,1,512,15.616
16,16,1,1024,16.32
16,16,1,2048,16.704
16,16,1,4096,20.128
16,16,1,8192,23.936
16,16,1,16384,34.848
16,16,2,16,12.448
16,16,2,32,12.704
16,16,2,64,12.576
16,16,2,128,13.856
16,16,2,256,14.432
16,16,2,512,16
16,16,2,1024,16.512
16,16,2,2048,19.2
16,16,2,4096,23.424
16,16,2,8192,36.064
16,16,2,16384,52.416
16,16,4,16,12.737
16,16,4,32,12.704
16,16,4,64,12.576
16,16,4,128,14.016
16,16,4,256,14.912
16,16,4,512,17.6
16,16,4,1024,19.2
16,16,4,2048,26.528
16,16,4,4096,36.448
16,16,4,8192,53.696
16,16,4,16384,88.288
16,16,8,16,12.448
16,16,8,32,12.576
16,16,8,64,12.768
16,16,8,128,14.112
16,16,8,256,15.104
16,16,8,512,23.648
16,16,8,1024,26.592
16,16,8,2048,35.712
16,16,8,4096,53.024
16,16,8,8192,89.056
16,16,8,16384,159.936
16,16,16,16,15.872
16,16,16,32,16.096
16,16,16,64,16.32
16,16,16,128,18.432
16,16,16,256,20.192
16,16,16,512,27.808
16,16,16,1024,36.288
16,16,16,2048,55.872
16,16,16,4096,88.192
16,16,16,8192,159.137
16,16,16,16384,303.072
16,16,32,16,17.12
16,16,32,32,17.28
16,16,32,64,18.816
16,16,32,128,21.056
16,16,32,256,25.568
16,16,32,512,38.206
16,16,32,1024,56.512
16,16,32,2048,91.52
16,16,32,4096,161.184
16,16,32,8192,300.833
16,16,32,16384,580
16,16,64,16,24.064
16,16,64,32,24.544
16,16,64,64,25.664
16,16,64,128,31.2
16,16,64,256,39.52
16,16,64,512,60.96
16,16,64,1024,94.977
16,16,64,2048,164.865
16,16,64,4096,302.655
16,16,64,8192,577.281
16,16,64,16384,1140.35
16,16,128,16,37.696
16,16,128,32,37.984
16,16,128,64,38.976
16,16,128,128,50.432
16,16,128,256,64.513
16,16,128,512,101.6
16,16,128,1024,175.521
16,16,128,2048,310.561
16,16,128,4096,580.736
16,16,128,8192,1132.99
16,16,128,16384,2244
16,32,0,0,12.16
16,32,1,16,12.032
16,32,1,32,12.288
16,32,1,64,12.448
16,32,1,128,12.96
16,32,1,256,14.4
16,32,1,512,15.936
16,32,1,1024,16.864
16,32,1,2048,17.472
16,32,1,4096,20.064
16,32,1,8192,25.408
16,32,1,16384,35.04
16,32,2,16,12.512
16,32,2,32,12.416
16,32,2,64,12.608
16,32,2,128,13.664
16,32,2,256,14.912
16,32,2,512,15.584
16,32,2,1024,17.12
16,32,2,2048,19.296
16,32,2,4096,23.712
16,32,2,8192,36.288
16,32,2,16384,54.336
16,32,4,16,12.864
16,32,4,32,12.704
16,32,4,64,12.704
16,32,4,128,14.176
16,32,4,256,14.944
16,32,4,512,17.312
16,32,4,1024,19.456
16,32,4,2048,27.136
16,32,4,4096,36.097
16,32,4,8192,52.928
16,32,4,16384,87.488
16,32,8,16,12.48
16,32,8,32,12.704
16,32,8,64,12.928
16,32,8,128,13.728
16,32,8,256,15.04
16,32,8,512,23.424
16,32,8,1024,26.688
16,32,8,2048,37.312
16,32,8,4096,52.128
16,32,8,8192,88.736
16,32,8,16384,159.583
16,32,16,16,15.552
16,32,16,32,16.064
