prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.851
0,0,1,32,11.7977
0,0,1,64,11.8933
0,0,1,128,13.1413
0,0,1,256,13.888
0,0,1,512,15.3493
0,0,1,1024,15.7017
0,0,1,2048,16.8853
0,0,1,4096,19.6483
0,0,1,8192,24.2663
0,0,1,16384,33.739
0,0,2,16,11.808
0,0,2,32,11.8187
0,0,2,64,12.0853
0,0,2,128,13.12
0,0,2,256,13.9627
0,0,2,512,15.6267
0,0,2,1024,16.7147
0,0,2,2048,19.04
0,0,2,4096,23.9577
0,0,2,8192,34.5387
0,0,2,16384,52.1923
0,0,4,16,12.2453
0,0,4,32,12.2133
0,0,4,64,12.2667
0,0,4,128,13.6427
0,0,4,256,14.5387
0,0,4,512,17.1947
0,0,4,1024,19.0507
0,0,4,2048,23.808
0,0,4,4096,33.8243
0,0,4,8192,51.9687
0,0,4,16384,87.6597
0,0,8,16,12.416
0,0,8,32,12.3627
0,0,8,64,12.4053
0,0,8,128,13.8243
0,0,8,256,14.8373
0,0,8,512,19.2427
0,0,8,1024,24.4053
0,0,8,2048,34.4
0,0,8,4096,51.488
0,0,8,8192,86.9127
0,0,8,16384,158.987
0,0,16,16,12.8427
0,0,16,32,12.843
0,0,16,64,13.216
0,0,16,128,15.0933
0,0,16,256,17.6
0,0,16,512,24.992
0,0,16,1024,34.7947
0,0,16,2048,52.288
0,0,16,4096,88.768
0,0,16,8192,160.203
0,0,16,16384,298.539
0,0,32,16,16.907
0,0,32,32,17.0987
0,0,32,64,18.3147
0,0,32,128,21.408
0,0,32,256,26.656
0,0,32,512,38.6027
0,0,32,1024,56.1497
0,0,32,2048,91.851
0,0,32,4096,161.302
0,0,32,8192,300.801
0,0,32,16384,581.175
0,0,64,16,24.096
0,0,64,32,24.3413
0,0,64,64,25.9413
0,0,64,128,31.872
0,0,64,256,41.024
0,0,64,512,61.7067
0,0,64,1024,97.696
0,0,64,2048,166.198
0,0,64,4096,302.753
0,0,64,8192,578.839
0,0,64,16384,1135.85
0,0,128,16,37.472
0,0,128,32,37.6107
0,0,128,64,38.9657
0,0,128,128,52.0217
0,0,128,256,67.1573
0,0,128,512,106.229
0,0,128,1024,176.619
0,0,128,2048,312.47
0,0,128,4096,583.916
0,0,128,8192,1133.21
0,0,128,16384,2244.18
0,0,256,16,63.1573
0,0,256,32,64.1387
0,0,256,64,66.326
0,0,256,128,88.9603
0,0,256,256,117.291
0,0,256,512,197.057
0,0,256,1024,337.068
0,0,256,2048,605.847
0,0,256,4096,1144.89
0,0,256,8192,2247.52
0,0,256,16384,4482.76
16,0,0,0,12.203
16,0,1,16,12.2667
16,0,1,32,12.1387
16,0,1,64,12.224
16,0,1,128,13.344
16,0,1,256,14.4213
16,0,1,512,15.7547
16,0,1,1024,16.192
16,0,1,2048,17.3763
16,0,1,4096,20.16
16,0,1,8192,25.0453
16,0,1,16384,35.755
16,0,2,16,12.523
16,0,2,32,12.747
16,0,2,64,12.5547
16,0,2,128,13.6853
16,0,2,256,14.8373
16,0,2,512,15.7333
16,0,2,1024,17.0027
16,0,2,2048,19.5093
16,0,2,4096,24.4053
16,0,2,8192,37.227
16,0,2,16384,54.3683
16,0,4,16,12.7787
16,0,4,32,12.5333
16,0,4,64,12.7467
16,0,4,128,13.8243
16,0,4,256,15.04
16,0,4,512,17.5357
16,0,4,1024,19.5627
16,0,4,2048,28.043
16,0,4,4096,36.6297
16,0,4,8192,53.355
16,0,4,16384,88.7367
16,0,8,16,12.5653
16,0,8,32,12.6187
16,0,8,64,12.6293
16,0,8,128,13.8773
16,0,8,256,14.9013
16,0,8,512,24.32
16,0,8,1024,28.2133
16,0,8,2048,38.134
16,0,8,4096,55.5413
16,0,8,8192,89.7387
16,0,8,16384,158.688
16,0,16,16,15.659
16,0,16,32,15.9467
16,0,16,64,16.288
16,0,16,128,18.3253
16,0,16,256,19.904
16,0,16,512,27.8933
16,0,16,1024,37.5893
16,0,16,2048,54.4853
16,0,16,4096,89.803
16,0,16,8192,160.331
16,0,16,16384,300.577
16,0,32,16,17.3333
16,0,32,32,17.3973
16,0,32,64,17.984
16,0,32,128,21.312
16,0,32,256,25.728
16,0,32,512,38.4427
16,0,32,1024,56.096
16,0,32,2048,91.872
16,0,32,4096,160.556
16,0,32,8192,301.164
16,0,32,16384,582.998
16,0,64,16,24.2667
16,0,64,32,24.7787
16,0,64,64,26.048
16,0,64,128,31.5097
16,0,64,256,40.4483
16,0,64,512,61.504
16,0,64,1024,96.7043
16,0,64,2048,165.312
16,0,64,4096,302.454
16,0,64,8192,578.924
16,0,64,16384,1135
16,0,128,16,38.0693
16,0,128,32,38.251
16,0,128,64,39.2747
16,0,128,128,50.8373
16,0,128,256,65.195
16,0,128,512,105.909
16,0,128,1024,172.576
16,0,128,2048,311.275
16,0,128,4096,582.732
16,0,128,8192,1133.26
16,0,128,16384,2242.46
16,16,0,0,12.3733
16,16,1,16,12.1387
16,16,1,32,12.128
16,16,1,64,12.0217
16,16,1,128,13.2267
16,16,1,256,14.4213
16,16,1,512,15.7547
16,16,1,1024,16.2667
16,16,1,2048,17.1093
16,16,1,4096,20.2773
16,16,1,8192,25.12
16,16,1,16384,34.752
16,16,2,16,12.4267
16,16,2,32,12.4907
16,16,2,64,12.4907
16,16,2,128,13.5683
16,16,2,256,14.7627
16,16,2,512,15.712
16,16,2,1024,16.8963
16,16,2,2048,19.4347
16,16,2,4096,24.256
16,16,2,8192,37.4083
16,16,2,16384,55.136
16,16,4,16,12.6613
16,16,4,32,12.544
16,16,4,64,12.7467
16,16,4,128,13.8773
16,16,4,256,15.136
16,16,4,512,17.2907
16,16,4,1024,19.6053
16,16,4,2048,27.6697
16,16,4,4096,36.1067
16,16,4,8192,53.1413
16,16,4,16384,88.107
16,16,8,16,12.512
16,16,8,32,12.544
16,16,8,64,12.512
16,16,8,128,13.824
16,16,8,256,14.816
16,16,8,512,24.3947
16,16,8,1024,27.7333
16,16,8,2048,37.835
16,16,8,4096,56.0533
16,16,8,8192,89.6537
16,16,8,16384,160.96
16,16,16,16,15.5093
16,16,16,32,15.9787
16,16,16,64,16.2773
16,16,16,128,18.1657
16,16,16,256,19.936
16,16,16,512,27.9787
16,16,16,1024,37.76
16,16,16,2048,54.2827
16,16,16,4096,88.48
16,16,16,8192,159.392
16,16,16,16384,300.502
16,16,32,16,17.28
16,16,32,32,17.376
16,16,32,64,18.2827
16,16,32,128,21.1627
16,16,32,256,26.1333
16,16,32,512,38.0697
16,16,32,1024,56.6617
16,16,32,2048,91.8723
16,16,32,4096,161.686
16,16,32,8192,300.961
16,16,32,16384,582.167
16,16,64,16,24.0853
16,16,64,32,24.598
16,16,64,64,26.4107
16,16,64,128,31.4987
16,16,64,256,39.5947
16,16,64,512,60.5013
16,16,64,1024,96.523
16,16,64,2048,164.896
16,16,64,4096,304.396
16,16,64,8192,578.839
16,16,64,16384,1134.98
16,16,128,16,37.8457
16,16,128,32,38.2507
16,16,128,64,39.4133
16,16,128,128,50.8053
16,16,128,256,65.408
16,16,128,512,105.867
16,16,128,1024,174.156
16,16,128,2048,310.956
16,16,128,4096,582.785
16,16,128,8192,1134.78
16,16,128,16384,2244.17
16,32,0,0,12.1707
16,32,1,16,12.1173
16,32,1,32,12.2133
16,32,1,64,12.2987
16,32,1,128,13.3547
16,32,1,256,14.336
16,32,1,512,15.4667
16,32,1,1024,16.192
16,32,1,2048,17.3017
16,32,1,4096,20.4693
16,32,1,8192,25.376
16,32,1,16384,34.5493
16,32,2,16,12.5013
16,32,2,32,12.384
16,32,2,64,12.629
16,32,2,128,13.7173
16,32,2,256,14.9333
16,32,2,512,15.68
16,32,2,1024,17.163
16,32,2,2048,19.7547
16,32,2,4096,24.3843
16,32,2,8192,37.6107
16,32,2,16384,55.5413
16,32,4,16,12.6933
16,32,4,32,12.6187
16,32,4,64,12.8107
16,32,4,128,13.984
16,32,4,256,14.912
16,32,4,512,17.344
16,32,4,1024,19.52
16,32,4,2048,27.9893
16,32,4,4096,36.5547
16,32,4,8192,54.1763
16,32,4,16384,88.0107
16,32,8,16,12.608
16,32,8,32,12.747
16,32,8,64,12.5227
16,32,8,128,13.856
16,32,8,256,14.784
16,32,8,512,24.5227
16,32,8,1024,28.288
16,32,8,2048,38.2827
16,32,8,4096,55.766
16,32,8,8192,89.3443
16,32,8,16384,160.353
16,32,16,16,15.8933
16,32,16,32,16.032
16,32,16,64,16.491
16,32,16,128,18.4107
16,32,16,256,19.7653
16,32,16,512,27.7977
16,32,16,1024,38.1973
16,32,16,2048,54.454
16,32,16,4096,89.419
16,32,16,8192,159.841
16,32,16,16384,301.26
16,32,32,16,17.3973
16,32,32,32,17.3013
16,32,32,64,18.3467
16,32,32,128,21.0453
16,32,32,256,26.464
16,32,32,512,38.2933
16,32,32,1024,56.4373
16,32,32,2048,91.499
16,32,32,4096,161.28
16,32,32,8192,299.35
16,32,32,16384,586.326
16,32,64,16,24.2453
16,32,64,32,25.0243
16,32,64,64,26.1337
16,32,64,128,31.3813
16,32,64,256,39.7333
16,32,64,512,61.5893
16,32,64,1024,96.5333
16,32,64,2048,164.694
16,32,64,4096,304.684
16,32,64,8192,579.639
16,32,64,16384,1135.83
16,32,128,16,38.336
16,32,128,32,38.144
16,32,128,64,39.1573
16,32,128,128,51.584
16,32,128,256,65.707
16,32,128,512,105.472
16,32,128,1024,173.654
16,32,128,2048,310.689
16,32,128,4096,582.007
16,32,128,8192,1135.89
16,32,128,16384,2242.02
16,64,0,0,12.2453
16,64,1,16,12.032
16,64,1,32,12.2137
16,64,1,64,12.1707
16,64,1,128,13.2053
16,64,1,256,14.315
16,64,1,512,15.8293
16,64,1,1024,15.968
16,64,1,2048,17.1307
16,64,1,4096,19.9253
16,64,1,8192,25.3013
16,64,1,16384,34.8267
16,64,2,16,12.7253
16,64,2,32,12.4693
16,64,2,64,12.6187
16,64,2,128,13.6213
16,64,2,256,14.784
