layer,sequences,time_us
lm_head,1,286.753
lm_head,2,289.612
lm_head,3,288.513
lm_head,4,291.937
lm_head,5,293.153
lm_head,6,290.06
lm_head,7,292.715
lm_head,8,290.165
lm_head,9,292.662
lm_head,10,294.753
lm_head,11,291.574
lm_head,12,292.417
lm_head,13,291.36
lm_head,14,295.714
lm_head,15,294.368
lm_head,16,295.158
lm_head,20,296.534
lm_head,24,298.412
lm_head,28,299.755
lm_head,32,299.734
lm_head,36,301.622
lm_head,40,301.515
lm_head,44,301.067
lm_head,48,301.771
lm_head,52,311.009
lm_head,56,311.052
lm_head,60,311.457
lm_head,64,311.542
lm_head,80,314.561
lm_head,96,304.385
lm_head,112,308.385
lm_head,128,310.017
lm_head,144,312.833
lm_head,160,316.577
lm_head,176,319.489
lm_head,192,322.998
lm_head,208,326.934
lm_head,224,345.868
lm_head,240,352.492
lm_head,256,356.886
sampler,1,32.768
sampler,2,32.8107
sampler,3,32.395
sampler,4,32.3093
sampler,5,32.8853
sampler,6,32.6083
sampler,7,33.1947
sampler,8,32.7147
sampler,9,34.144
sampler,10,34.1653
sampler,11,34.4323
sampler,12,34.443
sampler,13,35.0403
sampler,14,34.784
sampler,15,35.1147
sampler,16,35.1253
sampler,20,37.0773
sampler,24,37.76
sampler,28,39.4987
sampler,32,40.64
sampler,36,42.08
sampler,40,42.752
sampler,44,45.408
sampler,48,46.4963
sampler,52,52.054
sampler,56,54.176
sampler,60,59.3813
sampler,64,61.7603
sampler,80,70.9013
sampler,96,80.2133
sampler,112,89.184
sampler,128,96.384
sampler,144,104.139
sampler,160,111.35
sampler,176,118.977
sampler,192,127.713
sampler,208,133.654
sampler,224,140.896
sampler,240,148.064
sampler,256,155.19
