regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,42.4,47.488,46.688,0.8428
pure,2,1,0.5,4.0,0,0,256,1024,640,48.544,50.4,48.512,-0.0172
pure,2,1,0.5,4.0,0,0,512,2048,1280,51.392,56.96,52.32,0.1667
pure,2,1,0.5,4.0,0,0,1024,4096,2560,61.152,73.536,62.432,0.1034
pure,2,1,0.5,4.0,0,0,2048,8192,5120,79.52,101.568,80.32,0.0363
pure,2,1,0.5,4.0,0,0,4096,16384,10240,114.656,155.105,115.776,0.0277
mixed,2,1,0.5,4.0,16,0,128,512,320,44.416,46.976,46.048,0.6375
mixed,2,1,0.5,4.0,16,0,256,1024,640,48.64,49.632,48.129,-0.5151
mixed,2,1,0.5,4.0,16,0,512,2048,1280,52.288,57.664,52.96,0.125
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,61.184,72.576,61.792,0.0534
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,81.216,111.648,80.8,-0.0137
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,124.192,165.665,118.817,-0.1296
mixed,2,1,0.5,4.0,16,512,128,512,320,51.2,53.216,50.912,-0.1429
mixed,2,1,0.5,4.0,16,512,256,1024,640,53.056,54.208,53.28,0.1944
mixed,2,1,0.5,4.0,16,512,512,2048,1280,55.52,61.313,55.072,-0.0773
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,64.257,74.977,64.385,0.0119
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,82.113,116.417,82.112,-0.0
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,117.92,177.472,117.632,-0.0048
mixed,2,1,0.5,4.0,16,1024,128,512,320,52.416,54.338,53.504,0.5661
mixed,2,1,0.5,4.0,16,1024,256,1024,640,54.881,55.616,55.04,0.2163
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,59.264,64.576,59.776,0.0964
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,65.601,77.12,66.272,0.0583
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,86.08,107.713,83.968,-0.0976
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,119.681,196.0,122.242,0.0336
mixed,2,1,0.5,4.0,16,2048,128,512,320,57.728,57.472,57.088,
mixed,2,1,0.5,4.0,16,2048,256,1024,640,60.224,62.017,58.848,-0.7674
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,63.36,68.0,63.104,-0.0552
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,76.769,82.208,72.928,-0.7062
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,87.648,108.033,88.224,0.0283
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,122.688,162.53,121.888,-0.0201
mixed,2,1,0.5,4.0,16,4096,128,512,320,68.096,68.96,66.592,-1.7407
mixed,2,1,0.5,4.0,16,4096,256,1024,640,71.52,68.64,72.0,
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,71.712,76.033,71.488,-0.0518
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,83.712,89.024,79.617,-0.7709
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,119.456,116.672,97.12,
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,164.416,171.616,132.226,-4.4708
mixed,2,1,0.5,4.0,16,8192,128,512,320,80.929,81.056,80.032,-7.063
mixed,2,1,0.5,4.0,16,8192,256,1024,640,84.0,85.248,84.128,0.1026
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,87.777,90.945,86.625,-0.3636
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,95.584,104.962,95.202,-0.0407
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,130.272,131.712,110.464,-13.7556
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,182.688,185.408,166.528,-5.9412
mixed,2,1,0.5,4.0,32,0,128,512,320,50.848,53.152,52.832,0.8611
mixed,2,1,0.5,4.0,32,0,256,1024,640,55.456,57.216,55.68,0.1273
mixed,2,1,0.5,4.0,32,0,512,2048,1280,57.856,63.744,58.592,0.125
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,65.76,77.92,66.272,0.0421
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,85.568,120.609,85.792,0.0064
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,131.712,172.994,123.04,-0.2101
mixed,2,1,0.5,4.0,32,512,128,512,320,64.32,69.344,64.832,0.1019
mixed,2,1,0.5,4.0,32,512,256,1024,640,64.544,65.312,63.648,-1.1667
mixed,2,1,0.5,4.0,32,512,512,2048,1280,68.48,69.345,68.832,0.4069
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,69.888,78.656,71.04,0.1314
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,86.176,125.217,88.929,0.0705
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,123.841,194.433,124.416,0.0081
mixed,2,1,0.5,4.0,32,1024,128,512,320,63.84,65.984,63.936,0.0448
mixed,2,1,0.5,4.0,32,1024,256,1024,640,68.768,69.696,64.704,-4.3793
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,68.288,73.984,67.36,-0.1629
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,71.648,83.36,72.864,0.1038
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,90.816,110.016,92.321,0.0784
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,123.872,211.937,125.984,0.024
mixed,2,1,0.5,4.0,32,2048,128,512,320,69.152,73.121,70.432,0.3225
mixed,2,1,0.5,4.0,32,2048,256,1024,640,74.912,71.969,73.984,
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,72.192,75.616,72.608,0.1215
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,92.544,89.472,89.536,
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,94.208,114.656,94.144,-0.0031
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,127.2,167.168,128.864,0.0416
mixed,2,1,0.5,4.0,32,4096,128,512,320,82.944,81.216,79.392,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,84.321,77.632,83.456,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,80.928,83.744,80.321,-0.2156
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,95.36,98.081,86.016,-3.434
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,135.617,122.016,106.464,
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,184.736,176.416,136.799,
mixed,2,1,0.5,4.0,32,8192,128,512,320,94.369,98.016,96.16,0.4911
mixed,2,1,0.5,4.0,32,8192,256,1024,640,94.304,96.864,93.249,-0.4121
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,99.329,103.232,97.792,-0.3938
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,105.472,113.507,105.185,-0.0357
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,145.729,134.912,118.336,
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,205.152,188.736,186.464,
mixed,2,1,0.5,4.0,64,0,128,512,320,50.784,57.952,54.944,0.5804
mixed,2,1,0.5,4.0,64,0,256,1024,640,57.696,57.216,55.521,
mixed,2,1,0.5,4.0,64,0,512,2048,1280,61.889,66.465,60.64,-0.2729
