pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,-0.0001,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1028,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0015,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0019,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1316,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0059,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0063,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0599,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0162,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0024,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0859,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0211,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0078,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.2972,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0029,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1094,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.6289,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.2124,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0535,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.6134,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.1254,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0325,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.7854,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.1011,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0227,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.7224,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2345,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0297,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.7418,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.114,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0013,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.1016,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0145,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0014,2
