layer,tokens,time_us
act_fn,1,3.98967
act_fn,2,4.87467
act_fn,3,4.81067
act_fn,4,4.84267
act_fn,5,4.864
act_fn,6,4.85367
act_fn,7,4.875
act_fn,8,4.90667
act_fn,9,4.896
act_fn,10,4.91733
act_fn,11,4.88567
act_fn,12,4.90667
act_fn,13,4.93867
act_fn,14,4.98133
act_fn,15,4.992
act_fn,16,5.06667
act_fn,20,4.81067
act_fn,24,4.78933
act_fn,28,4.8
act_fn,32,4.82167
act_fn,36,4.93867
act_fn,40,4.992
act_fn,44,5.152
act_fn,48,4.58667
act_fn,52,4.66133
act_fn,56,4.66133
act_fn,60,4.75733
act_fn,64,4.69333
act_fn,80,6.635
act_fn,96,7.499
act_fn,112,8.459
act_fn,128,9.41867
act_fn,144,13.2803
act_fn,160,13.7923
act_fn,176,14.368
act_fn,192,15.478
act_fn,208,20.075
act_fn,224,21.3123
act_fn,240,22.8587
act_fn,256,24.448
act_fn,272,32.7687
act_fn,288,33.942
act_fn,304,35.0937
act_fn,320,36.3627
act_fn,336,33.995
act_fn,352,35.9473
act_fn,368,37.952
act_fn,384,39.9793
act_fn,400,46.145
act_fn,416,48.193
act_fn,432,49.974
act_fn,448,52.0863
act_fn,464,50.9553
act_fn,480,53.2063
act_fn,496,55.745
act_fn,512,58.3583
act_fn,528,62.6677
act_fn,544,66.465
act_fn,560,69.9213
act_fn,576,73.4837
act_fn,592,75.0523
act_fn,608,78.5183
act_fn,624,81.0143
act_fn,640,84.012
act_fn,656,87.9167
act_fn,672,91.5857
act_fn,688,94.2953
act_fn,704,97.2713
act_fn,720,97.4097
act_fn,736,100.333
act_fn,752,103.01
act_fn,768,105.847
act_fn,784,102.028
act_fn,800,106.22
act_fn,816,110.018
act_fn,832,113.826
act_fn,848,119.638
act_fn,864,122.925
act_fn,880,125.122
act_fn,896,128.237
act_fn,912,127.458
act_fn,928,130.839
act_fn,944,134.222
act_fn,960,137.026
act_fn,976,139.32
act_fn,992,141.399
act_fn,1008,144.247
act_fn,1024,147.374
act_fn,1040,140.504
act_fn,1056,144.589
act_fn,1072,148.685
act_fn,1088,151.789
act_fn,1104,153.496
act_fn,1120,156.494
act_fn,1136,159.267
act_fn,1152,161.869
act_fn,1168,165.346
act_fn,1184,168.611
act_fn,1200,172.408
act_fn,1216,175.459
act_fn,1232,175.768
act_fn,1248,178.019
act_fn,1264,181.123
act_fn,1280,183.8
act_fn,1296,178.851
act_fn,1312,183.054
act_fn,1328,186.808
act_fn,1344,190.627
act_fn,1360,197.838
act_fn,1376,200.558
act_fn,1392,202.862
act_fn,1408,205.774
act_fn,1424,204.931
act_fn,1440,207.897
act_fn,1456,210.723
act_fn,1472,214.607
act_fn,1488,219.673
act_fn,1504,222.745
act_fn,1520,225.422
act_fn,1536,228.089
act_fn,1552,218.339
act_fn,1568,222.574
act_fn,1584,226.308
act_fn,1600,230.073
act_fn,1616,231.406
act_fn,1632,234.585
act_fn,1648,237.668
act_fn,1664,240.388
act_fn,1680,244.452
act_fn,1696,247.887
act_fn,1712,250.703
act_fn,1728,254.255
act_fn,1744,254.159
act_fn,1760,256.911
act_fn,1776,259.77
act_fn,1792,263.514
act_fn,1808,258.873
act_fn,1824,263.13
act_fn,1840,266.373
act_fn,1856,270.213
act_fn,1872,277.391
act_fn,1888,280.41
act_fn,1904,283.183
act_fn,1920,285.808
act_fn,1936,285.285
act_fn,1952,288.282
act_fn,1968,291.258
act_fn,1984,294.479
act_fn,2000,306.981
act_fn,2016,309.179
act_fn,2032,312.464
act_fn,2048,315.568
down_proj,1,277.124
down_proj,2,284.506
down_proj,3,285.498
down_proj,4,280.57
down_proj,5,281.658
down_proj,6,281.711
down_proj,7,282.447
down_proj,8,281.817
down_proj,9,281.956
down_proj,10,282.767
down_proj,11,282.469
down_proj,12,283.056
down_proj,13,283.258
down_proj,14,283.876
down_proj,15,283.578
down_proj,16,283.706
down_proj,20,310.106
down_proj,24,312.688
down_proj,28,312.869
down_proj,32,314.842
down_proj,36,316.848
down_proj,40,317.082
down_proj,44,317.253
down_proj,48,320.239
down_proj,52,321.317
down_proj,56,322.555
down_proj,60,322.181
down_proj,64,327.077
down_proj,80,352.869
down_proj,96,357.936
down_proj,112,361.041
down_proj,128,365.915
down_proj,144,419.387
down_proj,160,422.278
down_proj,176,427.261
down_proj,192,431.964
down_proj,208,453.789
down_proj,224,454.801
down_proj,240,455.335
down_proj,256,462.333
down_proj,272,558.889
down_proj,288,562.506
down_proj,304,566.035
down_proj,320,565.779
down_proj,336,649.931
down_proj,352,653.046
down_proj,368,654.72
down_proj,384,657.44
down_proj,400,748.097
