layer,sequences,time_us
lm_head,1,1623.74
lm_head,2,1631.22
lm_head,3,1634.68
lm_head,4,1636.46
lm_head,5,1639.74
lm_head,6,1641.19
lm_head,7,1644.63
lm_head,8,1647.27
lm_head,9,1648.04
lm_head,10,1648.56
lm_head,11,1651.48
lm_head,12,1652.5
lm_head,13,1654.13
lm_head,14,1656.08
lm_head,15,1657.98
lm_head,16,1658.14
lm_head,20,1785.14
lm_head,24,1774.34
lm_head,28,1799.86
lm_head,32,1765.5
lm_head,36,1775.94
lm_head,40,1760.09
lm_head,44,1761.61
lm_head,48,1864.35
lm_head,52,1871.99
lm_head,56,1877.81
lm_head,60,1886.34
lm_head,64,1893.45
lm_head,80,1772.02
lm_head,96,1994.36
lm_head,112,2014.61
lm_head,128,2036.26
lm_head,144,2217.35
lm_head,160,2231.76
lm_head,176,2256.54
lm_head,192,2277.39
lm_head,208,2583.05
lm_head,224,2604.11
lm_head,240,2619.28
lm_head,256,2635.8
sampler,1,9.13
sampler,2,10.9443
sampler,3,11.1787
sampler,4,11.4037
sampler,5,12.0857
sampler,6,13.1417
sampler,7,14.4433
sampler,8,14.5173
sampler,9,14.8057
sampler,10,15.296
sampler,11,16.1813
sampler,12,17.5573
sampler,13,17.835
sampler,14,19.2643
sampler,15,19.8403
sampler,16,20.32
sampler,20,21.2057
sampler,24,23.542
sampler,28,27.147
sampler,32,28.1177
sampler,36,32.2463
sampler,40,35.4783
sampler,44,36.758
sampler,48,35.713
sampler,52,40.5233
sampler,56,43.9583
sampler,60,48.7687
sampler,64,48.6403
sampler,80,69.1423
sampler,96,85.2917
sampler,112,114.849
sampler,128,138.669
sampler,144,176.312
sampler,160,213.976
sampler,176,244.954
sampler,192,271.012
sampler,208,319.909
sampler,224,357.083
sampler,240,393.937
sampler,256,420.445
