pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0325,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0281,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0303,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0162,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0184,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0155,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0375,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0218,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0361,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0053,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0069,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0114,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0449,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0281,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0343,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0658,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,-0.0112,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0515,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0145,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0069,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.01,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0031,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0112,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.002,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0453,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.045,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0321,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.071,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0871,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.0726,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0049,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0057,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0031,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,0.0006,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.005,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0006,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0098,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0007,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0073,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0019,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0057,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0074,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0179,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0237,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0101,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1442,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1544,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1454,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1352,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1499,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1216,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.194,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1748,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1987,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.2064,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.1844,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.2238,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0843,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.1312,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.0536,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.028,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1265,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0432,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0789,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0715,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.1897,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.3879,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0852,2
0,n<=4,sr>70%,kvB<=4k,kp=0,-0.0108,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0752,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0808,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0765,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0601,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0547,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0596,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0856,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0702,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0892,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.084,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0379,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,0.0684,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0911,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1279,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.1098,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0515,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0633,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0332,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0211,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0421,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0023,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0056,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.0559,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0084,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0684,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.229,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.1988,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0027,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0026,4
