regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,52.863,56.831,53.952,0.2744
pure,2,1,0.5,4.0,0,0,256,1024,640,60.64,76.191,61.696,0.0679
pure,2,1,0.5,4.0,0,0,512,2048,1280,82.399,112.097,79.007,-0.1142
pure,2,1,0.5,4.0,0,0,1024,4096,2560,121.537,163.52,114.848,-0.1593
pure,2,1,0.5,4.0,0,0,2048,8192,5120,188.0,268.801,197.761,0.1208
pure,2,1,0.5,4.0,0,0,4096,16384,10240,330.69,486.723,337.381,0.0429
mixed,2,1,0.5,4.0,16,0,128,512,320,53.056,76.544,75.424,0.9523
mixed,2,1,0.5,4.0,16,0,256,1024,640,88.737,125.28,124.161,0.9694
mixed,2,1,0.5,4.0,16,0,512,2048,1280,149.6,223.969,222.912,0.9858
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,273.634,423.426,421.282,0.9857
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,522.241,820.613,819.491,0.9962
mixed,2,1,0.5,4.0,16,0,4096,16384,10240,1017.158,1608.329,1607.367,0.9984
mixed,2,1,0.5,4.0,16,512,128,512,320,76.0,77.792,76.385,0.2148
mixed,2,1,0.5,4.0,16,512,256,1024,640,88.675,125.536,124.704,0.9774
mixed,2,1,0.5,4.0,16,512,512,2048,1280,149.696,225.024,223.841,0.9843
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,273.858,423.747,421.665,0.9861
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,523.617,820.706,819.783,0.9969
mixed,2,1,0.5,4.0,16,512,4096,16384,10240,1016.705,1608.456,1606.824,0.9972
mixed,2,1,0.5,4.0,16,1024,128,512,320,124.736,125.76,124.897,0.1572
mixed,2,1,0.5,4.0,16,1024,256,1024,640,125.825,127.328,124.929,-0.5961
mixed,2,1,0.5,4.0,16,1024,512,2048,1280,149.632,224.802,223.906,0.9881
mixed,2,1,0.5,4.0,16,1024,1024,4096,2560,275.714,423.969,423.394,0.9961
mixed,2,1,0.5,4.0,16,1024,2048,8192,5120,522.723,821.731,819.876,0.9938
mixed,2,1,0.5,4.0,16,1024,4096,16384,10240,1017.701,1608.012,1607.43,0.999
mixed,2,1,0.5,4.0,16,2048,128,512,320,223.106,223.969,223.264,0.1831
mixed,2,1,0.5,4.0,16,2048,256,1024,640,224.482,225.184,224.128,-0.5043
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,225.857,228.065,224.738,-0.5068
mixed,2,1,0.5,4.0,16,2048,1024,4096,2560,276.065,423.457,424.131,1.0046
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,524.226,820.961,820.547,0.9986
mixed,2,1,0.5,4.0,16,2048,4096,16384,10240,1018.566,1608.198,1607.714,0.9992
mixed,2,1,0.5,4.0,16,4096,128,512,320,420.45,421.476,420.801,0.3421
mixed,2,1,0.5,4.0,16,4096,256,1024,640,421.346,423.393,421.443,0.0474
mixed,2,1,0.5,4.0,16,4096,512,2048,1280,423.265,423.877,423.043,-0.3627
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,425.155,425.059,424.356,
mixed,2,1,0.5,4.0,16,4096,2048,8192,5120,524.194,820.709,820.163,0.9982
mixed,2,1,0.5,4.0,16,4096,4096,16384,10240,1016.038,1608.842,1606.95,0.9968
mixed,2,1,0.5,4.0,16,8192,128,512,320,815.619,816.066,815.234,-0.8613
mixed,2,1,0.5,4.0,16,8192,256,1024,640,816.356,816.451,816.036,-3.3684
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,817.7,818.278,815.748,-3.3772
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,816.803,817.411,815.651,-1.8947
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,816.93,821.445,820.226,0.73
mixed,2,1,0.5,4.0,16,8192,4096,16384,10240,1017.316,1608.809,1609.002,1.0003
mixed,2,1,0.5,4.0,32,0,128,512,320,53.119,76.0,75.521,0.9791
mixed,2,1,0.5,4.0,32,0,256,1024,640,88.288,124.704,123.968,0.9798
mixed,2,1,0.5,4.0,32,0,512,2048,1280,149.729,225.377,223.265,0.9721
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,274.498,423.073,422.402,0.9955
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,522.689,819.203,819.62,1.0014
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,1016.964,1608.071,1606.889,0.998
mixed,2,1,0.5,4.0,32,512,128,512,320,76.322,77.408,77.12,0.7348
mixed,2,1,0.5,4.0,32,512,256,1024,640,88.61,125.504,124.544,0.974
mixed,2,1,0.5,4.0,32,512,512,2048,1280,149.537,224.416,223.872,0.9927
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,274.306,423.808,422.786,0.9932
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,523.137,820.386,819.427,0.9968
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,1016.743,1607.939,1605.735,0.9963
mixed,2,1,0.5,4.0,32,1024,128,512,320,124.993,126.144,125.952,0.8332
mixed,2,1,0.5,4.0,32,1024,256,1024,640,126.337,127.264,126.273,-0.069
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,150.657,224.674,225.024,1.0047
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,276.161,423.232,422.946,0.9981
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,522.689,820.485,819.875,0.998
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,1017.318,1609.319,1606.727,0.9956
mixed,2,1,0.5,4.0,32,2048,128,512,320,223.777,224.451,223.841,0.095
mixed,2,1,0.5,4.0,32,2048,256,1024,640,224.641,225.6,225.152,0.5328
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,225.697,228.515,226.144,0.1586
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,275.266,423.938,423.104,0.9944
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,522.947,821.026,819.841,0.996
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,1016.678,1608.613,1605.411,0.9946
mixed,2,1,0.5,4.0,32,4096,128,512,320,420.993,422.21,421.762,0.6319
mixed,2,1,0.5,4.0,32,4096,256,1024,640,422.882,423.81,423.105,0.2403
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,424.098,425.572,424.002,-0.0651
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,424.931,425.634,424.193,-1.0498
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,522.753,820.131,819.554,0.9981
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,1015.814,1607.972,1605.897,0.9965
mixed,2,1,0.5,4.0,32,8192,128,512,320,816.035,815.778,816.515,
mixed,2,1,0.5,4.0,32,8192,256,1024,640,816.805,817.25,816.325,-1.0787
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,817.731,817.793,817.283,-7.2258
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,817.252,818.405,817.155,-0.0841
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,817.283,821.252,820.707,0.8627
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,1016.357,1607.592,1604.677,0.9951
mixed,2,1,0.5,4.0,64,0,128,512,320,53.313,76.608,76.033,0.9753
mixed,2,1,0.5,4.0,64,0,256,1024,640,88.801,125.088,124.323,0.9789
mixed,2,1,0.5,4.0,64,0,512,2048,1280,149.055,223.905,223.426,0.9936
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,274.049,423.555,420.898,0.9822
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,522.306,820.228,818.916,0.9956
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,1016.035,1607.369,1606.279,0.9982
mixed,2,1,0.5,4.0,64,512,128,512,320,77.376,77.888,77.601,0.4395
mixed,2,1,0.5,4.0,64,512,256,1024,640,88.769,125.728,124.8,0.9749
mixed,2,1,0.5,4.0,64,512,512,2048,1280,149.376,224.035,223.682,0.9953
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,274.465,423.297,421.795,0.9899
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,522.304,820.197,818.884,0.9956
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,1017.155,1608.266,1606.182,0.9965
mixed,2,1,0.5,4.0,64,1024,128,512,320,125.984,126.402,125.986,0.0048
mixed,2,1,0.5,4.0,64,1024,256,1024,640,126.369,127.905,126.912,0.3535
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,149.345,224.865,223.363,0.9801
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,275.232,423.233,422.275,0.9935
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,521.731,819.812,820.002,1.0006
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,1016.323,1608.005,1605.316,0.9955
mixed,2,1,0.5,4.0,64,2048,128,512,320,224.673,225.183,224.802,0.2529
mixed,2,1,0.5,4.0,64,2048,256,1024,640,225.09,226.177,225.568,0.4397
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,225.888,229.378,226.208,0.0917
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,275.36,423.265,422.337,0.9937
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,521.633,819.429,819.62,1.0006
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,1016.995,1608.168,1605.064,0.9947
mixed,2,1,0.5,4.0,64,4096,128,512,320,421.921,422.339,422.112,0.4569
mixed,2,1,0.5,4.0,64,4096,256,1024,640,423.874,424.323,424.003,0.2873
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,424.192,425.793,424.29,0.0612
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,425.696,425.955,425.504,-0.7413
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,521.89,819.715,818.757,0.9968
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,1015.076,1608.483,1605.99,0.9958
mixed,2,1,0.5,4.0,64,8192,128,512,320,816.355,816.227,816.899,
mixed,2,1,0.5,4.0,64,8192,256,1024,640,817.252,818.116,817.251,-0.0012
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,817.379,819.074,817.668,0.1705
mixed,2,1,0.5,4.0,64,8192,1024,4096,2560,818.402,819.62,818.818,0.3415
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,819.624,821.953,822.691,1.3169
mixed,2,1,0.5,4.0,64,8192,4096,16384,10240,1015.653,1607.399,1605.029,0.996
mixed,2,1,0.5,4.0,128,0,128,512,320,57.44,80.224,80.097,0.9944
mixed,2,1,0.5,4.0,128,0,256,1024,640,92.48,128.513,127.649,0.976
mixed,2,1,0.5,4.0,128,0,512,2048,1280,152.512,226.241,224.194,0.9722
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,274.787,423.395,423.138,0.9983
mixed,2,1,0.5,4.0,128,0,2048,8192,5120,522.786,819.681,819.333,0.9988
mixed,2,1,0.5,4.0,128,0,4096,16384,10240,1016.998,1606.759,1606.345,0.9993
mixed,2,1,0.5,4.0,128,512,128,512,320,82.114,82.016,81.761,
mixed,2,1,0.5,4.0,128,512,256,1024,640,93.25,128.833,128.257,0.9838
mixed,2,1,0.5,4.0,128,512,512,2048,1280,153.058,225.761,224.93,0.9886
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,274.978,423.714,423.426,0.9981
mixed,2,1,0.5,4.0,128,512,2048,8192,5120,523.201,819.813,819.172,0.9978
mixed,2,1,0.5,4.0,128,512,4096,16384,10240,1016.451,1609.059,1606.95,0.9964
mixed,2,1,0.5,4.0,128,1024,128,512,320,130.784,130.336,130.208,
mixed,2,1,0.5,4.0,128,1024,256,1024,640,130.433,130.496,130.465,0.5079
mixed,2,1,0.5,4.0,128,1024,512,2048,1280,153.729,226.53,225.728,0.989
mixed,2,1,0.5,4.0,128,1024,1024,4096,2560,276.354,424.131,423.681,0.997
mixed,2,1,0.5,4.0,128,1024,2048,8192,5120,522.657,820.995,819.715,0.9957
mixed,2,1,0.5,4.0,128,1024,4096,16384,10240,1016.963,1608.553,1607.238,0.9978
mixed,2,1,0.5,4.0,128,2048,128,512,320,228.352,228.289,228.002,
mixed,2,1,0.5,4.0,128,2048,256,1024,640,228.675,228.77,228.864,1.9895
mixed,2,1,0.5,4.0,128,2048,512,2048,1280,228.737,230.114,229.472,0.5338
mixed,2,1,0.5,4.0,128,2048,1024,4096,2560,276.64,424.449,423.233,0.9918
mixed,2,1,0.5,4.0,128,2048,2048,8192,5120,523.043,821.379,820.165,0.9959
mixed,2,1,0.5,4.0,128,2048,4096,16384,10240,1017.156,1608.039,1606.534,0.9975
mixed,2,1,0.5,4.0,128,4096,128,512,320,425.891,425.666,424.834,
mixed,2,1,0.5,4.0,128,4096,256,1024,640,425.825,426.657,425.825,0.0
mixed,2,1,0.5,4.0,128,4096,512,2048,1280,426.882,427.937,426.626,-0.2427
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,428.513,428.194,426.819,
mixed,2,1,0.5,4.0,128,4096,2048,8192,5120,524.514,821.155,820.771,0.9987
mixed,2,1,0.5,4.0,128,4096,4096,16384,10240,1017.349,1608.42,1608.008,0.9993
mixed,2,1,0.5,4.0,128,8192,128,512,320,821.03,820.484,819.46,
mixed,2,1,0.5,4.0,128,8192,256,1024,640,820.453,821.315,821.187,0.8515
mixed,2,1,0.5,4.0,128,8192,512,2048,1280,821.059,821.667,820.933,-0.2072
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,822.82,823.523,822.339,-0.6842
mixed,2,1,0.5,4.0,128,8192,2048,8192,5120,824.003,825.666,824.803,0.4811
mixed,2,1,0.5,4.0,128,8192,4096,16384,10240,1018.499,1608.07,1608.36,1.0005
mixed,2,1,0.5,4.0,256,0,128,512,320,87.168,110.08,108.512,0.9316
mixed,2,1,0.5,4.0,256,0,256,1024,640,122.144,158.144,157.248,0.9751
mixed,2,1,0.5,4.0,256,0,512,2048,1280,182.304,254.818,253.665,0.9841
mixed,2,1,0.5,4.0,256,0,1024,4096,2560,302.88,447.299,448.321,1.0071
