instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,user_id,gpu_id,user_x_m,user_y_m,gpu_x_m,gpu_y_m,distance_m,network_throughput_mbps,request_payload_bytes,first_token_payload_bytes,uplink_distance_latency_ns,uplink_serialization_latency_ns,uplink_latency_ns,downlink_distance_latency_ns,downlink_serialization_latency_ns,downlink_latency_ns,communication_latency_ns,request_send_time_ns,gpu_arrival_time_ns,first_schedule_time_ns,first_token_ready_time_ns,first_token_received_time_ns,request_end_time_ns,queueing_before_ttft_ns,prefill_service_ns,simulator_ttft_ns,e2e_ttft_ns,decode_queueing_ns,decode_active_ns,decode_after_ttft_ns,request_completion_latency_ns,ttft_bottleneck,total_latency_bottleneck,communication_ratio,queueing_ratio,prefill_ratio,decode_ratio
0,0,meta-llama/Llama-3.1-8B,8192,32,0,1447148242,1447148242,437003966,471451537,31474087,"[29387889, 29717713, 30073809, 30493265, 30792849, 31237777, 33161464, 31913873, 32183859, 28844595, 29197203, 29601811, 29894163, 30342515, 30716851, 31033523, 31309075, 31960723, 32561683, 33105171, 33604947, 34067571, 34495795, 34894291, 35381842, 29600872, 30144936, 30717320, 31143848, 31782664, 32332808]",,,,,,,,,,,0,0,0,0,0,0,0,-1,0,1,471451537,471451537,1447148242,1,471451536,471451537,-1,0,975696705,975696705,-1,prefill,decode,0.0,2.1211087917187127e-09,0.9999999978788912,0.6742202883455529
0,4,meta-llama/Llama-3.1-8B,4096,32,2000000,1743890717,1741890717,716230176,748414035,32047634,"[28844595, 29197203, 29601811, 29894163, 30342515, 30716851, 31033523, 31309075, 31960723, 32561683, 33105171, 33604947, 34067571, 34495795, 34894291, 35381842, 29600872, 30144936, 30717320, 31143848, 31782664, 32332808, 31013395, 31291443, 31914867, 32520243, 33067347, 33569651, 34034803, 34465171, 34865555]",,,,,,,,,,,0,0,0,0,0,0,0,-1,2000000,471451537,750414035,750414035,1743890717,469451537,278962498,748414035,-1,0,993476682,993476682,-1,queueing,decode,0.0,0.62726180302057,0.37273819697943,0.5703438638854632
0,8,meta-llama/Llama-3.1-8B,8192,32,4000000,2246266297,2242266297,1222043952,1257425794,31769048,"[29600872, 30144936, 30717320, 31143848, 31782664, 32332808, 31013395, 31291443, 31914867, 32520243, 33067347, 33569651, 34034803, 34465171, 34865555, 35302483, 29852883, 30211251, 30616919, 30912723, 31327155, 31697459, 32009779, 32280808, 29552552, 30099240, 30663496, 31102888, 31717320, 32278440, 32750184]",,,,,,,,,,,0,0,0,0,0,0,0,-1,4000000,718230176,1261425794,1261425794,2246266297,714230176,543195618,1257425794,-1,0,984840503,984840503,-1,queueing,decode,0.0,0.5680098017776148,0.4319901982223851,0.4392165659884598
0,12,meta-llama/Llama-3.1-8B,8192,32,6000000,2765467091,2759467091,1737890717,1773193200,31815286,"[29852883, 30211251, 30616919, 30912723, 31327155, 31697459, 32009779, 32280808, 29552552, 30099240, 30663496, 31102888, 31717320, 32278440, 32750184, 31261651, 32602253, 32457917, 33010899, 33517395, 33986803, 34420819, 34824403, 35201992, 29516072, 30066792, 30625512, 31078054, 31671304, 32240680, 32718248]",,,,,,,,,,,0,0,0,0,0,0,0,-1,6000000,1226043952,1779193200,1779193200,2765467091,1220043952,553149248,1773193200,-1,0,986273891,986273891,-1,queueing,queueing,0.0,0.6880490811717528,0.31195091882824727,0.35741462335852153
0,16,meta-llama/Llama-3.1-8B,4096,32,8000000,3008625651,3000625651,1987821369,2020102177,31629789,"[29552552, 30099240, 30663496, 31102888, 31717320, 32278440, 32750184, 31261651, 32602253, 32457917, 33010899, 33517395, 33986803, 34420819, 34824403, 35201992, 29516072, 30066792, 30625512, 31078054, 31671304, 32240680, 32718248, 31243624, 28674056, 29229096, 29763240, 30197864, 30791624, 31382504, 31876552]",,,,,,,,,,,0,0,0,0,0,0,0,-1,8000000,1743890717,2028102177,2028102177,3008625651,1735890717,284211460,2020102177,-1,0,980523474,980523474,-1,queueing,queueing,0.0,0.8593083739842928,0.14069162601570723,0.32677300937996945
0,20,meta-llama/Llama-3.1-8B,8192,32,10000000,3525764627,3515764627,2502348437,2537550429,31555296,"[29516072, 30066792, 30625512, 31078054, 31671304, 32240680, 32718248, 31243624, 28674056, 29229096, 29763240, 30197864, 30791624, 31382504, 31876552, 31229608, 28645128, 29206536, 29738440, 30179112, 30760296, 31356584, 31854312, 32282344, 32868328, 33516584, 34101000, 34635592, 35136456, 35599240, 36029416]",,,,,,,,,,,0,0,0,0,0,0,0,-1,10000000,1995821369,2547550429,2547550429,3525764627,1985821369,551729060,2537550429,-1,0,978214198,978214198,-1,queueing,queueing,0.0,0.7825741495835313,0.2174258504164687,0.27823654362058636
0,24,meta-llama/Llama-3.1-8B,4096,32,12000000,3649050138,3637050138,2753467091,2784710715,27494820,"[28674056, 29229096, 29763240, 30197864, 30791624, 31382504, 31876552, 31229608, 28645128, 29206536, 29738440, 30179112, 30760296, 31356584, 31854312, 32282344, 32868328, 33516584, 34101000, 34635592, 35136456, 35599240, 36029416, 34665174, 12658759, 12659175, 12659623, 12660071, 12660487, 12660903, 12661319]",,,,,,,,,,,0,0,0,0,0,0,0,-1,12000000,2512348437,2796710715,2796710715,3649050138,2500348437,284362278,2784710715,-1,0,852339423,852339423,-1,queueing,queueing,0.0,0.8978844457816509,0.10211555421834903,0.23434909903900808
0,28,meta-llama/Llama-3.1-8B,4096,32,14000000,3749428106,3735428106,2994625651,3025855259,22889446,"[28645128, 29206536, 29738440, 30179112, 30760296, 31356584, 31854312, 32282344, 32868328, 33516584, 34101000, 34635592, 35136456, 35599240, 36029416, 34665174, 12658759, 12659175, 12659623, 12660071, 12660487, 12660903, 12661319, 12546046, 12546398, 12546750, 12547070, 12547422, 12547742, 12548094, 12548446]",,,,,,,,,,,0,0,0,0,0,0,0,-1,14000000,2765467091,3039855259,3039855259,3749428106,2751467091,274388168,3025855259,-1,0,709572847,709572847,-1,queueing,queueing,0.0,0.909318805919791,0.09068119408020897,0.18995757028766116
0,32,meta-llama/Llama-3.1-8B,8192,32,16000000,3942799050,3926799050,3509764627,3544429801,12334491,"[12658759, 12659175, 12659623, 12660071, 12660487, 12660903, 12661319, 12546046, 12546398, 12546750, 12547070, 12547422, 12547742, 12548094, 12548446, 12084028, 12084252, 12084476, 12084700, 12084892, 12085116, 12085340, 12085564, 12085788, 12086012, 12086236, 12086460, 12086684, 12086908, 12087132, 12087356]",,,,,,,,,,,0,0,0,0,0,0,0,-1,16000000,3008625651,3560429801,3560429801,3942799050,2992625651,551804150,3544429801,-1,0,382369249,382369249,-1,queueing,queueing,0.0,0.8443179351882444,0.1556820648117556,0.09737428478801329
0,36,meta-llama/Llama-3.1-8B,256,32,18000000,3942799050,3924799050,3507764627,3542429801,12334491,"[12658759, 12659175, 12659623, 12660071, 12660487, 12660903, 12661319, 12546046, 12546398, 12546750, 12547070, 12547422, 12547742, 12548094, 12548446, 12084028, 12084252, 12084476, 12084700, 12084892, 12085116, 12085340, 12085564, 12085788, 12086012, 12086236, 12086460, 12086684, 12086908, 12087132, 12087356]",,,,,,,,,,,0,0,0,0,0,0,0,-1,18000000,3525764627,3560429801,3560429801,3942799050,3507764627,34665174,3542429801,-1,0,382369249,382369249,-1,queueing,queueing,0.0,0.9902142947221666,0.009785705277833394,0.09742390479838707
