user_id,user_x_m,user_y_m,request_weight,request_probability,assigned_gpu_id,distance_to_gpu_m,second_nearest_gpu_id,second_nearest_distance_m
0,2750.2931836911926,2232.1073814882275,1.0,0.05,0,1090.1252317193375,1,2252.844440745146
1,265.35969683863624,1988.376506866485,1.0,0.05,0,1406.8600845267997,3,3023.2915560858514
2,3402.5051651799185,1554.7949981178156,1.0,0.05,1,1692.2944836803865,0,1823.4596260716642
3,3701.8096711688263,2095.070307714877,1.0,0.05,1,1298.3176016383618,0,2035.2238591529392
4,8763.676264726688,3146.778807984779,1.0,0.05,2,1119.544188269797,6,2227.7623672498084
5,8758.52940378194,2633.890507510908,1.0,0.05,2,672.20499933601,6,2672.026079910339
6,5.718961279435053,3241.560570046731,1.0,0.05,3,1758.448729799221,0,2007.9430735035817
7,856.5345206787878,4859.9046331661375,1.0,0.05,3,867.9159503792722,4,2480.7574284835237
8,4752.8237809873135,5498.035934949439,1.0,0.05,4,1504.3250545706321,5,1977.583287616935
9,4381.00083914504,5175.758410355907,1.0,0.05,4,1062.3082979953008,5,2292.413753598658
10,5945.191535334412,6193.815103321031,1.0,0.05,5,1394.8911595647273,8,1938.9221203369798
11,7412.309083479308,5516.804211263912,1.0,0.05,5,907.2313428423192,9,2542.623219480938
12,9039.285715598931,5455.902892055224,1.0,0.05,6,1063.3999168876094,5,2416.022975179383
13,8345.950198860168,5825.09566489794,1.0,0.05,6,1848.4219217711338,5,1871.0357875271682
14,3082.583499301337,8989.8148874259,1.0,0.05,7,1794.8731076978372,8,2212.0659974093555
15,1545.5333833220463,9298.810156936745,1.0,0.05,7,1417.2453618828288,8,3731.9231862983643
16,5384.519970927919,7194.299991448455,1.0,0.05,8,792.0505080400233,5,2541.427444691085
17,4731.861859093263,9011.808258282543,1.0,0.05,8,1156.5690195674242,7,3265.1452278001357
18,8184.234645366642,7511.381375407323,1.0,0.05,9,403.8968611183088,5,2934.288324450484
19,7509.644766184729,7700.461885740251,1.0,0.05,9,844.4915278541305,8,2516.5493212989254
